table,dgp,n,d,p,S,init,mse_mean,mse_std,time_total_mean,time_total_std,time_per_iter_mean,time_per_iter_std,time_per_epoch_mean,time_per_epoch_std,init_time_mean,init_time_std,final_loss_mean,final_loss_std,n_total,n_success,n_failed
1,A,1000,250,5,10,pairwise,0.03526524193789534,0.0035643907578379467,41.17710696603999,8.665393970711152,3.6591708992199976,0.8646759093027028,,,4.585397973840014,0.24574488863573468,,,50,50,0
1,A,1000,250,5,20,pairwise,0.008641182480671035,0.0014377718558294644,77.00127381752003,14.239097522772537,3.6202319334360014,0.7107625160095172,,,4.596635148799996,0.262911116286348,,,50,50,0
1,A,1000,500,5,10,pairwise,0.05117914266135587,0.011877553084076233,66.19238453275992,3.0067492946580567,5.949559479947984,0.30005786310159827,,,6.696789733280075,0.15453790517018615,,,50,50,0
1,A,1000,500,5,20,pairwise,0.022209403206870402,0.00845914870955113,124.34985527563992,4.5233663031088165,5.881530616118,0.22582981457062892,,,6.719242953279936,0.11746401569970254,,,50,50,0
1,A,1000,1000,5,10,pairwise,0.07735563129325938,0.02525530855166704,205.5266108498398,4.203119079494973,18.535850614289963,0.4239369551990255,,,20.168104706940177,0.6339559066872195,,,50,50,0
1,A,1000,1000,5,20,pairwise,0.04919383832461376,0.021567130157158856,395.6066569267201,11.904520895293722,18.761347152792997,0.5987139118281395,,,20.37971387086014,0.6694270586461436,,,50,50,0
1,A,1000,2000,5,10,pairwise,0.11389141266287255,0.11452396760518704,832.3648692211596,20.285931595583325,75.57441186774994,1.920041366311815,,,76.62075054366011,2.303644623234524,,,50,50,0
1,A,1000,2000,5,20,pairwise,0.06440552353735397,0.03309375149058286,1555.5140537209197,26.55164917948743,74.02700716271497,1.3369750527565156,,,74.97391046662058,1.0940621487113014,,,50,50,0
1,A,1000,5000,5,10,pairwise,0.09253551564511621,0.00857001473953203,4441.620416140419,94.3188052716583,400.04218071172215,8.612113570369598,,,441.1986090231978,11.33125695059624,,,50,50,0
1,A,1000,5000,5,20,pairwise,0.07167455408223221,0.004375657009061961,8311.317258194851,24.761812782574957,393.8061644628198,1.1939951229502006,,,435.19396893845527,3.2858018752407685,,,38,38,0
1,C,1000,250,5,10,pairwise,0.0080208,0.005235854420351191,,,,,,,,,,,10,10,0
1,C,1000,250,5,20,pairwise,0.0033001000000000003,0.0011594433961556246,,,,,,,,,,,10,10,0
1,C,1000,500,5,10,pairwise,0.010699799999999999,0.00474352435314597,,,,,,,,,,,10,10,0
1,C,1000,500,5,20,pairwise,0.0079002,0.003583918364645663,,,,,,,,,,,10,10,0
1,C,1000,1000,5,10,pairwise,0.0254002,0.009486915126753388,,,,,,,,,,,10,10,0
1,C,1000,1000,5,20,pairwise,0.0197001,0.008432915239306829,,,,,,,,,,,10,10,0
1,C,1000,2000,5,10,pairwise,0.0510999,0.019184420290375672,,,,,,,,,,,10,10,0
1,C,1000,2000,5,20,pairwise,0.033,0.011278789838551927,,,,,,,,,,,10,10,0
1,C,1000,5000,5,10,pairwise,0.0654999,0.008854426393994514,,,,,,,,,,,10,10,0
1,C,1000,5000,5,20,pairwise,0.0353999,0.003478420473273593,,,,,,,,,,,10,10,0
