table,dgp,rep,seed,theta_seed,n,d,p,m_min,m_max,method,solver,init,S,S_effective,optimizer,lr,lambda,epochs,batch_size,device,n_workers,time_total,time_per_iter,time_per_epoch,init_time,final_loss,mse,status,error,timestamp
1,A,0,1000,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,71.09653783900012,6.418742445800035,,6.90911338099977,,0.061086548354074885,ok,,2026-01-26T03:19:51.067251
1,A,1,1001,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,70.64346830900013,6.330660730799991,,7.336861001000216,,0.03216935540011349,ok,,2026-01-26T03:21:02.670680
1,A,2,1002,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,67.06927360900045,6.05718716170004,,6.49740199200005,,0.0706613841892605,ok,,2026-01-26T03:22:13.757976
1,A,3,1003,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,80.85976661600034,7.421165316099996,,6.648113455000384,,0.0557503830877459,ok,,2026-01-26T03:23:21.258626
1,A,4,1004,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,65.55155418100003,5.883885828499933,,6.712695896000696,,0.06005494283080086,ok,,2026-01-26T03:24:42.547586
1,A,5,1005,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,68.97437775000071,6.237188512800094,,6.602492621999772,,0.03735438215651211,ok,,2026-01-26T03:25:48.534138
1,A,6,1006,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,66.93778229300005,6.038662203300009,,6.5511602599999605,,0.037748916019230604,ok,,2026-01-26T03:26:57.936097
1,A,7,1007,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,66.28878283699942,5.959003421799935,,6.698748619000071,,0.045096765470759664,ok,,2026-01-26T03:28:05.310734
1,A,8,1008,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,66.32804012999986,5.961661992200061,,6.711420207999254,,0.03378560448127824,ok,,2026-01-26T03:29:12.036506
1,A,9,1009,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,64.22752536799999,5.737816618199941,,6.849359186000584,,0.048672436271541025,ok,,2026-01-26T03:30:18.794997
1,A,10,1010,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,65.82936141000027,5.913135824000074,,6.698003169999538,,0.04001916806287324,ok,,2026-01-26T03:31:23.450812
1,A,11,1011,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,64.33657927000058,5.750115128400102,,6.835427985999559,,0.03762016219744642,ok,,2026-01-26T03:32:29.712290
1,A,12,1012,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,66.51420606400006,5.991882383399934,,6.595382230000723,,0.06769642841713708,ok,,2026-01-26T03:33:34.510282
1,A,13,1013,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,67.27318471599938,6.040501147699979,,6.868173238999589,,0.034481629120625176,ok,,2026-01-26T03:34:41.455237
1,A,14,1014,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,67.26254383600008,6.072013558099934,,6.542408255000737,,0.06477308697734324,ok,,2026-01-26T03:35:49.152805
1,A,15,1015,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,66.29883243200038,5.955827231199964,,6.740560120000737,,0.04973659802096172,ok,,2026-01-26T03:36:56.845864
1,A,16,1016,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,65.73170693700013,5.901525057000072,,6.7164563669994095,,0.04525758745798578,ok,,2026-01-26T03:38:03.576113
1,A,17,1017,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,66.51226180899994,5.9603089583999465,,6.909172225000475,,0.05853505835678288,ok,,2026-01-26T03:39:09.742017
1,A,18,1018,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,67.48380940799962,6.077537695899901,,6.708432449000611,,0.05253059502785147,ok,,2026-01-26T03:40:16.690190
1,A,19,1019,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,65.72302483400017,5.906490632100031,,6.658118512999863,,0.049047874064789554,ok,,2026-01-26T03:41:24.601962
1,A,20,1020,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,63.645117562999985,5.69053415340004,,6.739776028999586,,0.04441642797986394,ok,,2026-01-26T03:42:30.757022
1,A,21,1021,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,66.29337099900022,5.9614932446999775,,6.6784385520004435,,0.04460403795179977,ok,,2026-01-26T03:43:34.836236
1,A,22,1022,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,66.04778217700004,5.944390507400021,,6.6038771029998315,,0.04168907172788506,ok,,2026-01-26T03:44:41.563301
1,A,23,1023,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,63.68026507700051,5.685022918800041,,6.830035889000101,,0.06030882540468127,ok,,2026-01-26T03:45:48.032495
1,A,24,1024,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,65.30197505399974,5.8670700982999735,,6.631274071000007,,0.04288039955226847,ok,,2026-01-26T03:46:52.144240
1,A,25,1025,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,62.99703705199954,5.628737099399951,,6.709666058000039,,0.04203391502735845,ok,,2026-01-26T03:47:57.874230
1,A,26,1026,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,65.5176571080001,5.90539943269996,,6.463662781000494,,0.03463496402389602,ok,,2026-01-26T03:49:01.297896
1,A,27,1027,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,67.548865793,6.089767805700012,,6.651187735999883,,0.05421500157547857,ok,,2026-01-26T03:50:07.248774
1,A,28,1028,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,64.7760624450002,5.8377091555999865,,6.3989708890003385,,0.07069096551523485,ok,,2026-01-26T03:51:15.235259
1,A,29,1029,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,63.8506396190005,5.720513840500098,,6.645501213999523,,0.0416955035180462,ok,,2026-01-26T03:52:20.436823
1,A,30,1030,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,64.38520611899912,5.766440978099854,,6.720796338000582,,0.051058192842162384,ok,,2026-01-26T03:53:24.718436
1,A,31,1031,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,61.80907736100016,5.517684393099989,,6.632233430000269,,0.050038497189015,ok,,2026-01-26T03:54:29.541976
